,tconst,actors,originalTitle,genres,directors,writers,averageRating,numVotes,language
20666,tt15977708,"nm3080722,nm3324982,nm9352307,nm1082823,nm6543093,nm5050824,nm1297015,nm0781899,nm0838588,nm0819851",Saturday Morning All Star Hits!,"Animation,Comedy","nm9352307,nm5050824","nm2664435,nm9352307,nm5050824,nm3324982",7.5,1065,en
20674,tt15978212,"nm0645636,nm7770751,nm2958957,nm6285625,nm13157532,nm10529402,nm7659282",Paripi Koumei,"Animation,Comedy,Music",nm1122502,\N,7.6,756,en
20679,tt1598876,"nm4301754,nm0305272,nm0278304,nm1622615,nm3821405,nm0325337,nm0298281,nm0750468,nm4183934,nm0805587",Better with You,Comedy,"nm0357143,nm0128225,nm0421675,nm0664756,nm0123273,nm0771673,nm0923396","nm0325337,nm0539719,nm0153676,nm0387671,nm0969581,nm1502831,nm1828551,nm1459362,nm0742424,nm1633902,nm3186942,nm1703687,nm2542598,nm2591962",6.8,3301,en
20680,tt1599357,"nm2686262,nm0593961,nm0342029,nm0629653,nm0531101,nm0770090,nm0368818,nm2062691,nm1321094,nm0921979",The Gates,"Crime,Drama,Fantasy","nm0057106,nm0314104,nm0568192,nm0016473,nm0197700,nm0250267,nm0343622,nm0591171,nm0793455,nm0813313","nm0770090,nm0368818,nm0822748,nm0632350,nm1802812,nm0938129",7.1,8292,en
20684,tt1600194,"nm0564277,nm1533927,nm0004790,nm1711334,nm0196654,nm0006997,nm0476064,nm0293480,nm0649460,nm0661825",Hawaii Five-0,"Action,Crime,Drama","nm0818465,nm0000693,nm0505842,nm0904169,nm1270350,nm0251032,nm0877427,nm0001102,nm0102434,nm0163892,nm1234893,nm0402493,nm0004610,nm0849236,nm0076167,nm0881038,nm0205377,nm0870295,nm0066584,nm0485637,nm0378893,nm0400486,nm0624423,nm1533927,nm0250267,nm1084723,nm1734368,nm0509183,nm0128205,nm0744794,nm0528337,nm0430926,nm0710568,nm1301113,nm0075244,nm0444709,nm0926215,nm0936482,nm0952352,nm1926923,nm0940668,nm0394586,nm0220049,nm0855613,nm0191697,nm0196654,nm0839695,nm0928219,nm0618779,nm0020491,nm1062017,nm0833191,nm0001835,nm0934663,nm0035243,nm0102431,nm1406333,nm0004883,nm0795223","nm0006997,nm0476064,nm0293480,nm0649460,nm4258865,nm3032969,nm3244822,nm1133498,nm1325865,nm3225554,nm4939330,nm0282105,nm0300800,nm2256631,nm0360453,nm4116015,nm5539242,nm0812747,nm1431939,nm1674339,nm2038407,nm1428654,nm1033788,nm1546172,nm2201310,nm1549211,nm1173204,nm1277149,nm2041101,nm0625639,nm0215277,nm0053322,nm3305803,nm2791352,nm3725616,nm3726411,nm1347078,nm0004307,nm0125322,nm0269763,nm3130312,nm3131414,nm0637493,nm0564277,nm5302966,nm1305006,nm2148402,nm5027526,nm3428652,nm2641379,nm2272312,nm8475729,nm1533927,nm1811187,nm0312565,nm2194189,nm0638258,nm1667961,nm1862013,nm0048877,nm3562104,nm0583397,nm0647911,nm2110808,nm0718555,nm0784682,nm4939708,nm4248129,nm7146115,nm1760808,nm1244475,nm3021720,nm1556992,nm3749783,nm5552605,nm0218430,nm1997905,nm0069074,nm0488991",7.4,74532,en
20696,tt1600199,"nm7597176,nm0004971,nm0005227,nm0224703,nm0000532,nm0149743,nm0266468,nm3529685,nm1048128,nm0004731",Franklin & Bash,"Comedy,Crime,Drama","nm0258128,nm0118778,nm0007193,nm0514278,nm0281598,nm0732233,nm0106230,nm0020491,nm0343622,nm0762541,nm0000625,nm0004517,nm0035106,nm0124079,nm0000484,nm0088121,nm0151540,nm0001601,nm0956910,nm0149743,nm0004971,nm0389972","nm0149743,nm0266468,nm2210824,nm4550390,nm1590309,nm5549931,nm6812275,nm1677066,nm3309690,nm8404668,nm2204730,nm1457876,nm0005227,nm1722234,nm1584238,nm0410516,nm0707517,nm5091200",7.6,14070,fr
20702,tt1600757,"nm0827565,nm0772116,nm2804503,nm0177528,nm0652089,nm1492428,nm0224007,nm0826745,nm1312566,nm0217221",Kick Buttowski: Suburban Daredevil,"Action,Adventure,Animation","nm0767748,nm0607472,nm1095881","nm1492428,nm6040275,nm3082958,nm1915692,nm1910191,nm2906072,nm2553419,nm0639802,nm1991414,nm1274521,nm0514166,nm1006850,nm0238277,nm1487152,nm2453520,nm2837934,nm0607472,nm0444716,nm0066313,nm1691845,nm0131968,nm0410810,nm0421079,nm0475211,nm1912600,nm0767748,nm1032829,nm2325798,nm1100677,nm0060678,nm1024016,nm4029216,nm1486538,nm0469334,nm0598225,nm1024962,nm2537163",6.6,5419,en
20707,tt1601141,"nm3831333,nm0559983,nm3784696,nm2459990,nm2041296,nm0573093,nm7174613,nm3785080,nm3924672,nm3239772",WWE NXT,"Action,Sport",\N,"nm4953168,nm2069019,nm4519556,nm2057866,nm0573093,nm3033896,nm2274818,nm2251709,nm0573080",7.6,2118,ja
20708,tt16030542,"nm2106870,nm3170207,nm2652095,nm1865834,nm1472589,nm1149075,nm0193554,nm1640384,nm8585850,nm9482101",The Recruit,"Action,Adventure,Crime","nm0391905,nm2016145,nm0510731,nm3222363","nm7515055,nm1149075,nm8705831,nm2006934,nm6276982,nm8526326",7.5,26011,ja
20720,tt1604099,"nm1441925,nm1842439,nm2193861,nm2711305,nm2566697,nm0773759,nm3812858,nm2240326,nm1508859,nm2776874",Victorious,"Comedy,Drama,Family","nm1543688,nm0004597,nm0718270,nm0447583,nm2143401","nm0773759,nm2244947,nm0068578,nm1313401,nm1003810,nm2331723,nm1250208,nm2937160,nm2604380,nm1820725,nm2040271,nm1337455",7.0,26148,en
20732,tt1604113,"nm1472010,nm1218621,nm1566486,nm1199107,nm2428245,nm2354099,nm2352210,nm1140300,nm3596976,nm1738176",Friends with Benefits,Comedy,"nm0736821,nm0005088,nm0417794,nm0229694,nm0338576,nm0151540,nm0003289,nm0110644,nm0000625,nm0881206,nm0399737,nm0329923","nm2354099,nm2352210,nm4170842,nm0074165,nm0106928,nm1260509,nm1029902,nm1065184,nm1517674,nm0519550",6.5,3461,en
20738,tt1606375,"nm1674947,nm0095017,nm0517642,nm0001527,nm0185354,nm0271501,nm3882295,nm0141697,nm1890784,nm0296219",Downton Abbey,"Drama,Romance","nm1093053,nm0262678,nm1353167,nm0323758,nm0607701,nm0819083,nm0446232,nm0257554,nm0093322,nm0668887,nm1326093,nm2007278,nm0355542,nm1113890","nm0271501,nm1780018,nm0827322",8.7,209189,en
20749,tt1608180,"nm0454598,nm0974080,nm0565250,nm0934008,nm1737500,nm0731393,nm0001436,nm2148665,nm0615992,nm0715671",Mike & Molly,"Comedy,Romance","nm0565250,nm1739187,nm0327591,nm0615063,nm0004517,nm0123273,nm0507629,nm0697532,nm0567912,nm0870699,nm0731393","nm0731393,nm0383322,nm0287774,nm0521143,nm0343442,nm0063790,nm1549096,nm2997642,nm1978050,nm0198416,nm1065184,nm0323068,nm0220754,nm1774560,nm0380863,nm0423561,nm2880474,nm2308099,nm1017487,nm4499241",6.5,26376,en
20755,tt1608383,"nm1745277,nm0925220,nm0591528,nm0005552,nm0203508,nm0761715,nm2092525,nm0933281,nm1082823,nm0428963",Black Dynamite,"Action,Adventure,Animation","nm2103577,nm2092525,nm8618496,nm0948623,nm1877746,nm2198694,nm1245378,nm0497567,nm2170500,nm5322327","nm0591528,nm0761715,nm0925220,nm2092525,nm1549189,nm0003045,nm0250049,nm1263844,nm2805547",8.1,4625,en
20760,tt16087866,"nm4870609,nm0667904,nm2649764,nm2068611,nm5104702,nm9170320,nm1896035,nm0158483,nm8985327,nm5644731",Ruxx,"Comedy,Drama,Romance","nm2394747,nm6605054",nm2646319,6.5,674,en
20764,tt16088566,"nm4617844,nm4631766,nm4413266,nm11015997,nm10949664,nm10102309,nm6798594,nm8078423,nm5887751,nm7443563",Boli,"Crime,Drama,Thriller",nm10152661,"nm10102309,nm6798594,nm13172228",6.5,930,en
20768,tt1608924,"nm1967265,nm1324897,nm0586003,nm1154161,nm0517087,nm0329361,nm0642601,nm0949049,nm2226321,nm1394531",Kekkaishi,"Action,Adventure,Animation",nm1829961,"nm0556856,nm0726184,nm0902135,nm2400175,nm1964051,nm0441419,nm3819626,nm3819671",7.5,509,ja
20769,tt16098700,"nm4465857,nm1302735,nm1204760,nm1490195,nm4988352,nm0679764,nm1284169,nm11682818,nm0268007,nm0121605",Fire Country,Drama,"nm0236173,nm1204760,nm1103210,nm0251032,nm0332405,nm0624423,nm1326093,nm5502262,nm0188929,nm1667629,nm0632598,nm0915637","nm0679764,nm1284169,nm1302735,nm8509775,nm2780239,nm4097439,nm8871058,nm4812958,nm2730765,nm2279977,nm3742281,nm3846767",7.1,3567,en
20781,tt1610515,"nm0720191,nm0001555,nm0005491,nm0907708,nm0749570,nm0231909,nm1101083,nm1107254,nm0314910,nm0010837",The Whole Truth,"Crime,Drama","nm0047458,nm0004610,nm0251032,nm0277830,nm0336241,nm0402493,nm1734368,nm0003163,nm0394032,nm0394586,nm0005204","nm0231909,nm2336968,nm3688777,nm0081299,nm4139274,nm4229662,nm0509340,nm1110844,nm1074156,nm0958418",6.6,705,en
20784,tt1610527,"nm2981935,nm2796745,nm2981082,nm1185753,nm1760830,nm2599035,nm1133152",Workaholics,Comedy,"nm1760830,nm1015063,nm3064925,nm0462277,nm0788426,nm0388846,nm1072410,nm2981082,nm1041479,nm0075728,nm2796745,nm1926903,nm0287198","nm2981935,nm2796745,nm2981082,nm1760830,nm2599035,nm1133152,nm3398282,nm3584289,nm2257388,nm1072410,nm0454626,nm4550390,nm1802537,nm4594415,nm1735367,nm1307248,nm1065184,nm2419994,nm1905395,nm2007254,nm2212825,nm1625221,nm2006190,nm2747257,nm1304396,nm4737310,nm3072470,nm3281571,nm3619756,nm6669074",8.1,52965,en
20791,tt1610860,"nm0354490,nm1040419,nm0657139,nm1425287,nm3152897,nm1543018,nm0297873,nm0411009,nm0468711,nm0370677",Rainbow: Nishakubou no shichinin,"Animation,Crime,Drama",nm1130145,"nm1121798,nm3829407,nm0847453",8.3,2595,en
20794,tt16113748,"nm1226736,nm5158377,nm5326244,nm0342929,nm5195415,nm5715797,nm1946645,nm1217127,nm13159270,nm0175093","City of Angels, City of Death","Crime,Documentary",nm0697158,\N,7.8,656,en
20797,tt16118500,"nm2366974,nm1122912,nm12143078,nm11251472,nm4938422,nm7092275,nm1665004,nm3329873,nm0615693,nm1540244",Dr. Arora,"Comedy,Drama","nm7092275,nm9631744,nm6537025","nm2358632,nm9631744,nm4399252,nm9571789,nm7092275,nm1665004,nm6681220",7.1,1477,ja
20805,tt1612578,"nm0005443,nm0000638,nm1838070,nm0005474,nm0766005,nm3824767,nm0463172,nm0616083,nm3824575,nm0046730",$#*! My Dad Says,Comedy,"nm0541562,nm0771673,nm0958449,nm0094288,nm0913637,nm0123273","nm3824767,nm0463172,nm0616083,nm3824575,nm1838837,nm0040138,nm7607674,nm0716557,nm1279203,nm0513973,nm0300284,nm0326246,nm1792748,nm2251713",6.2,5208,en
20806,tt1615919,"nm0317315,nm3432505,nm0000588,nm0226813,nm0940990,nm0305228,nm0001458,nm4313808,nm4314944,nm0083024",Raising Hope,"Comedy,Family","nm0329923,nm0038893,nm1137187,nm0294350,nm0305228,nm0446822,nm0003733,nm1288766,nm0155117,nm0003167,nm0251848,nm0003163,nm0462277,nm0505842,nm0003474,nm0787687,nm1015063,nm0441899,nm0926526,nm0226813,nm0007193,nm3215024,nm0625065,nm0821048,nm0907835","nm0305228,nm1665958,nm1440633,nm1940350,nm0395195,nm6172382,nm0101298,nm1137187,nm0821048,nm0338892,nm0860484,nm2166095,nm0456927,nm0349370,nm0825217,nm0438350,nm0868005,nm1297787,nm0952863,nm1692207,nm1451274,nm0040139,nm2752103,nm0918633,nm1929500,nm2844320,nm1439546,nm0542658,nm3099089,nm4586457,nm0376511",8.1,38452,ja
20814,tt1615926,"nm1567082,nm0004715,nm0005392,nm2901344,nm0735440,nm0403804,nm0885016,nm1828184,nm0784818,nm0189144",Running Wilde,Comedy,"nm0287198,nm0003474,nm0255081,nm1420377,nm0578162,nm0751577,nm0751648,nm0002835,nm0403804","nm0004715,nm0403804,nm0885016,nm2189920,nm2968180,nm0206556,nm0238035,nm0324978,nm2384671,nm0520893,nm0952863",6.8,3180,en
20815,tt1616209,"nm11351559,nm0333165,nm0606422,nm1119963,nm3551516,nm11452348,nm11452349,nm0011127,nm3415994,nm3838722",Angelo Rules,"Animation,Comedy,Family","nm1615933,nm5343318,nm4277698,nm3194174","nm1470791,nm1032254,nm1574552,nm5418060,nm0333240,nm5528617,nm5885165,nm0342863,nm5979706,nm2265805,nm0076998,nm2956687,nm4077677,nm1482586,nm3675932,nm1109582,nm11599491,nm1192524,nm5885142,nm4430520,nm2242480,nm3957522,nm11452348,nm11452349,nm1968427,nm3615393,nm5794555,nm0469334,nm1498333,nm1077275,nm1284743,nm5739676,nm3838722,nm2248394,nm0121402,nm0957105,nm5690898,nm0365829,nm11375672",6.6,1429,en
20818,tt16162676,"nm5722613,nm6221099,nm7478305,nm3517512,nm1028315,nm9592084,nm7487475,nm4121127,nm7487476,nm1699639",Hayaller Ve Hayatlar,"Comedy,Romance","nm6312587,nm3394923,nm5796797","nm3873087,nm7686250",6.6,557,en
20825,tt1620950,"nm1983843,nm0164809,nm0000884,nm2809645,nm3220170,nm0752841,nm0931822,nm1312073,nm0005148,nm0887363",The Chicago Code,"Action,Crime,Drama","nm0211523,nm0272704,nm0317382,nm0568224,nm0641343,nm0322128,nm0424800,nm0644397,nm0035060,nm0054077","nm0752841,nm1935349,nm1850126,nm3569984,nm1740776,nm0557266,nm1983565,nm1125049,nm0957003,nm0591101",7.7,8286,ja
20830,tt1621748,"nm2803399,nm2417670,nm1641089,nm3241461,nm0669132,nm3236949,nm0827671,nm2453113,nm1926427,nm1496365",Ugly Americans,"Animation,Comedy,Fantasy","nm2428051,nm0041790,nm3236949,nm2298746,nm1732952,nm1769107,nm1771290","nm3236949,nm0827671,nm3002180,nm4550390,nm1442456,nm2129791,nm2275185,nm1161949,nm1545689,nm0446687,nm2453113,nm2694821,nm3241461,nm1049092,nm1802537,nm2804127,nm4134522",8.0,10494,en
20836,tt1622696,"nm2275975,nm0523180,nm0424534,nm0048389,nm0996651,nm1424524,nm2399856,nm0745691,nm2400268,nm0224007",Ben 10: Ultimate Alien,"Action,Adventure,Animation","nm1399631,nm0722713,nm0525665","nm2185413,nm1424524,nm2399856,nm0745691,nm2400268,nm0880204,nm0568336,nm1891181,nm0298380,nm1914953,nm0842391,nm0203035,nm0022688,nm0471172,nm0410810,nm0918083,nm0567505,nm0861382,nm1005417,nm0066313,nm0075487,nm0218204,nm0340485,nm5363930",7.7,8752,en
20844,tt16227240,"nm13489358,nm4045010,nm2771295,nm0304093,nm3561962,nm5686215,nm3119556,nm3547329,nm13688293,nm9386066",The Great Weddings of Munnes,"Comedy,Drama",nm6630093,"nm13175957,nm10089270,nm7447165,nm10592952,nm2808287",8.3,11894,en
20852,tt1622764,"nm1203299,nm1763620,nm1118621,nm1045777,nm1165906,nm3692419,nm1593517,nm2174122,nm3852138,nm0453385",Iljimae,"Action,Romance",nm3082978,nm3850564,8.0,1039,ja
20854,tt16231800,"nm8529582,nm7351424,nm6506497,nm7645092,nm7357362,nm7854630,nm4033859,nm10155128,nm7387389,nm9931446","Fuufu Ijou, Koibito Miman.","Animation,Comedy,Drama","nm9114323,nm1998210","nm1215757,nm14159804",7.4,773,en
20864,tt16232892,"nm13483936,nm6739779,nm13483933,nm10436883,nm13483935,nm13484751,nm13483929,nm13483931,nm13483927,nm13483928",Lizzo's Watch Out for the Big Grrrls,Reality-TV,"nm5283727,nm1931593",\N,6.2,1636,en
20872,tt16255458,"nm4785118,nm9779526,nm9549868,nm10667764,nm0410907,nm1542420,nm0840720,nm1289399,nm2675477,nm9966797",Otomege Sekai wa Mob ni Kibishii Sekai Desu,"Animation,Comedy,Fantasy","nm4861813,nm10531911,nm1536019","nm5176177,nm13650525",7.2,907,en
20878,tt1625724,"nm2988542,nm2534167,nm2832424,nm1941219,nm3647676,nm1472115,nm0177742,nm0242879,nm0455663,nm1588066",Love/Hate,"Crime,Drama","nm0128452,nm1396104",nm1472115,8.5,6952,en
20882,tt16259804,"nm8241694,nm9648243,nm10273610,nm0554614,nm2190133,nm0599413,nm0559077,nm1513311,nm12938508",Elite Short Stories: Samuel Omar,Drama,nm5783069,nm0599413,6.1,737,en
20885,tt1626038,"nm0246373,nm0519680,nm0642601,nm0089141,nm1484330,nm0184963,nm0851317,nm0558898,nm0935042,nm0482851",The Avengers: Earth's Mightiest Heroes,"Action,Adventure,Animation","nm0456631,nm0307139,nm0667469,nm0366792,nm2424570,nm0599594,nm0381817,nm1367649","nm2400268,nm0316043,nm1669477,nm1479558,nm2438664,nm2314482,nm1367649,nm1150938,nm2242750,nm1891181,nm3966115,nm5037683,nm1940179,nm2389609,nm3090268,nm1591737,nm1303925,nm2951806,nm1236653,nm0456158,nm0800209,nm2576916,nm0752728,nm1737422,nm1461945,nm1414749,nm1424524,nm2399856",8.3,15295,en
20892,tt1626459,"nm8152964,nm3067086,nm4456046,nm4474123,nm0146270,nm13934058,nm2835458,nm13917994,nm13917995,nm8152963",My Kitchen Rules,Reality-TV,"nm0011509,nm2529849,nm2039472","nm2496410,nm2635489",7.1,916,en
20898,tt16266226,"nm13166025,nm9891930,nm13166031,nm13166028,nm13166027,nm13166026,nm13166024,nm13166023,nm13166030,nm13166029",Bidurbhai,Comedy,nm13227418,"nm13227418,nm13166032",7.9,4264,en
20901,tt1628033,"nm4994916,nm0165087,nm1414369,nm0561982,nm3842971,nm2247190,nm1219851,nm2009532,nm1222569,nm0001455",Top Gear,"Adventure,Comedy,Reality-TV","nm0458676,nm1656402,nm1273069,nm1645999,nm1104159,nm2228045,nm1802388,nm1654324,nm2421954,nm2441505,nm1347776,nm2071500,nm2733733,nm1317983,nm0606942,nm0401776,nm0063279,nm0393608,nm2443644,nm0524876,nm1274426,nm3979776,nm1191406,nm1652823,nm2276716,nm1633069,nm0663882,nm1642954,nm2536410,nm1643699,nm2533842,nm1304319,nm0952847,nm1412244,nm2632435,nm1836988,nm0587584,nm1761417,nm4955694,nm2797298","nm0824540,nm0872040,nm0048364,nm1809772,nm1772717,nm0508080,nm8889494,nm12982850,nm1950891",8.7,120032,en
20912,tt16283666,"nm13287205,nm3751716,nm8662687,nm10609668,nm13287197,nm7258953,nm13287201,nm13287198,nm13287199,nm13287204",Single's Inferno,Reality-TV,\N,"nm11294257,nm13172640",7.2,2184,en
20923,tt1630269,"nm0733334,nm0524456,nm0816828,nm0683831,nm0173393,nm0734570,nm0554578,nm0868206,nm0333088,nm0025954",Soy tu dueña,"Drama,Romance","nm0209334,nm0305493","nm0265776,nm3179992,nm1369370,nm0734570",7.3,586,en
20924,tt16304142,"nm0996767,nm7936391,nm8480617,nm9035980,nm13401393,nm13505969",Hillsong: A Megachurch Exposed,Documentary,\N,\N,6.6,550,en
20929,tt1630574,"nm0469414,nm0365501,nm1593505,nm0000225,nm0410400,nm1104057,nm1164861,nm0005259,nm0951148,nm3260333",Breaking In,"Comedy,Crime","nm1164861,nm0000625,nm0787687,nm1288766,nm0038893,nm0124079,nm0329923,nm1420377,nm0390657,nm0474955,nm0000536,nm0003474,nm0684336,nm0000225,nm2634746","nm1104057,nm1164861,nm0469414,nm1219346,nm0009207,nm0072589,nm0825217,nm1427899,nm0923288,nm1427947,nm0213127,nm0236506,nm2421218,nm3843999,nm5509434,nm0118566,nm1372047",7.1,7526,en
20934,tt1632701,"nm0384211,nm0532683,nm1140666,nm1620783,nm1423048,nm0466689,nm0389069,nm0868659,nm0776040,nm0682495",Suits,"Comedy,Drama","nm1226492,nm0188929,nm0592808,nm0106230,nm0474955,nm1719186,nm0779350,nm0637458,nm0532683,nm1140666,nm0258066,nm1401177,nm0506130,nm0568192,nm0315298,nm0926215,nm0219491,nm0544741,nm0053157,nm0330140,nm0001513,nm0940668,nm0203215,nm0975026,nm0686853,nm1032600,nm0429964,nm2132542,nm0335337,nm0391905,nm0466689,nm0000536","nm0466689,nm2508302,nm2603082,nm6631885,nm0483736,nm3636450,nm1929772,nm6631886,nm1273768,nm1064117,nm4579562,nm3874114,nm10862657,nm0184586,nm5218997,nm3682921,nm2358277,nm1108246,nm0413005,nm0215130,nm0750809,nm4134522,nm1955904,nm0714864,nm1317673",8.5,415031,en
20945,tt16341212,"nm10409962,nm5667822,nm2413617,nm2573928,nm9504144,nm4289479,nm2132616,nm8034028,nm4909523,nm11372369",Aharen-san wa hakarenai,"Animation,Comedy","nm8255419,nm12679853,nm3021588","nm8709916,nm13674820,nm7147990,nm1771605",7.0,870,en
20949,tt1634208,"nm2760504,nm0722676,nm1001404,nm1783075,nm2462004,nm2568906,nm2413617,nm2893431,nm1453891,nm5262028",Kaichou wa meido-sama!,"Animation,Comedy,Romance","nm2394337,nm0757313,nm1457331,nm1986105,nm0620399,nm4824955,nm6099950,nm3432313,nm7567546,nm3115648,nm3514735,nm2041214,nm3887934","nm1715504,nm9436701,nm1257421,nm0948410,nm1027089",7.9,7727,en
20956,tt16343844,"nm1363122,nm1322528,nm12449722,nm2989873,nm2584861,nm0001950,nm3135079,nm2164330,nm0568399,nm1013376",Mystery Road: Origin,"Crime,Drama,Mystery",nm6670299,"nm1538151,nm7797864,nm3162610,nm2341237,nm6670299",7.7,1050,en
20965,tt16350094,"nm0453641,nm0217221,nm0224565,nm2355635,nm1102278,nm5405342,nm5377144,nm0000332,nm0175814,nm1456471",Diabolical,"Action,Adventure,Animation","nm2083477,nm3429848,nm5067953,nm1434884,nm6895212,nm4154191,nm0453493,nm3727637,nm1684310","nm5377144,nm2966104,nm1212017,nm2513282,nm4477261,nm1698571,nm1115022,nm1352769,nm0736622,nm1551598,nm1676221,nm0878768",6.9,13524,en
20975,tt16352098,"nm7578896,nm5219035,nm4269084,nm2588373,nm5218546,nm5218755,nm0168554,nm0272252,nm6554076,nm1052141",The Curse,"Comedy,Crime,Drama",nm1681579,"nm5218546,nm4269084,nm1681579,nm5219035,nm5218755",6.6,1626,en
20983,tt1635327,"nm3594298,nm3766090,nm5384050,nm5604534,nm3597657,nm3886208,nm1121649,nm5366481,nm8283390,nm3809533",The Nostalgia Critic,"Comedy,Fantasy","nm3766090,nm3005544,nm5366481,nm3597657,nm8283390,nm8333116","nm3766090,nm3597657,nm1121649,nm3005544,nm3809533,nm4159145,nm3872444,nm5384050,nm3805989,nm1745343,nm5741914,nm5366481,nm8283390,nm5604534,nm4702551,nm3883906,nm3987336,nm4515123,nm4184040,nm4386928,nm4548010,nm3885878,nm4699819,nm4493828,nm3559637,nm3973010,nm3963291,nm0799060,nm7274752,nm3872150,nm7274751,nm2699796,nm5101642,nm4606995,nm3940598,nm6168642,nm2680357,nm6168641,nm10374390,nm3594298,nm3886208,nm0827821",7.5,9430,ja
20986,tt16358384,"nm1330560,nm0000230,nm0767242,nm0771414,nm6238285,nm0792263,nm0143295,nm0518511,nm1842344,nm0012586",Tulsa King,"Crime,Drama","nm0002339,nm0272704,nm1032608,nm0449868,nm1564639","nm1567297,nm0792263,nm1010540,nm0281366,nm1802517,nm0797220",8.2,29789,en
20998,tt16358754,"nm0214661,nm3098505,nm0366889,nm6108476",The Wheel of Time: Origins,"Animation,Drama,Fantasy",nm4580173,"nm3104337,nm3249444",7.0,13388,en
21010,tt1636691,"nm1684869,nm0754512,nm0217221,nm0224007,nm0475986,nm1424524,nm2399856,nm0745691,nm2400268,nm0799777",Generator Rex,"Action,Adventure,Animation","nm0333967,nm3262328,nm2186676,nm2467207,nm1440583,nm2485136","nm1048706,nm2185413,nm1424524,nm2399856,nm0745691,nm2400268,nm1032829,nm0316043,nm0886759,nm1891181,nm2438664,nm0832309,nm0690570,nm3193620,nm0938394,nm0341297,nm0066313,nm0410810,nm2242750,nm0752728,nm0298380,nm0805133,nm3775094,nm5464901",7.6,6762,fr
21017,tt1636699,"nm3876031,nm3876068,nm0670324,nm3875573,nm3871548,nm6367190,nm0765165,nm3221530,nm0755702,nm3219800",Meri Zaat Zarrae Benishan,Drama,nm3872198,nm3877103,9.1,1107,en
21019,tt16369040,"nm13215451,nm13215450,nm13215448,nm13215449,nm2995371,nm7070671,nm13215453,nm6283337,nm13215732,nm13215458",Alaskan Killer Bigfoot,Reality-TV,nm2057000,\N,6.0,564,en
21022,tt16369694,"nm13197164,nm13197163,nm13197166,nm4716602,nm13197165",Queer Eye Germany,Reality-TV,\N,\N,7.3,1173,en
21029,tt16373480,"nm3562832,nm3826966,nm5019209,nm6524599,nm4099032,nm1347153,nm6437630,nm4596305,nm4723945,nm4390227",Zatima,"Comedy,Drama",nm1347153,nm1347153,7.8,857,en
21037,tt16373746,"nm8513222,nm3031063,nm1204778,nm3818748,nm5108650,nm2870984,nm1212929,nm11061034,nm4880922,nm2949405",Walker: Independence,"Action,Crime,Drama","nm1270350,nm1154594,nm2408871,nm0052059,nm6299221,nm1171810","nm2870984,nm1212929,nm9608676,nm5900860,nm10130800,nm0138733,nm1404095,nm1208379,nm5549931,nm10284855",6.9,1962,en
21049,tt1637574,"nm0581436,nm0005277,nm0725200,nm4505831,nm0900375,nm0742314,nm0900374,nm0941559,nm0671667,nm0372379",Conan,"Comedy,Music,Talk-Show","nm1723779,nm1097698,nm0842173,nm1260709,nm2650185,nm0333444","nm0005277,nm0725200,nm3000629,nm1488941,nm1328630,nm1702396,nm1610222,nm1760963,nm1682822,nm0330462,nm0037434,nm0842173,nm0452993,nm1643805,nm2664435,nm2992620,nm0806955,nm1572544,nm1243193,nm4132900,nm2039090,nm1235154,nm0564836,nm0821026,nm1545000,nm0471378,nm11688830,nm0863622,nm0227822,nm0001345,nm8009326",8.2,24432,en
21057,tt1637727,"nm1056583,nm0257969,nm1172478,nm0001004,nm0416699,nm0127894,nm0000405,nm0786641,nm0005138,nm1426686",The Killing,"Crime,Drama,Mystery","nm0080601,nm0975026,nm0008971,nm0003733,nm0330360,nm0002140,nm0449868,nm0026442,nm0420941,nm0001129,nm0315298,nm0394586,nm0106230,nm0127894,nm0110644,nm0753382,nm0804556,nm0317328,nm0004545","nm0127894,nm4474005,nm0696518,nm0948820,nm0163910,nm0232442,nm1661496,nm2270199,nm1730031,nm4446305,nm0728353,nm2826679,nm1158540,nm3408356,nm2686621,nm2996954,nm2278121,nm0925878",8.3,113804,en
21069,tt1638319,"nm0031524,nm3112481,nm2173711,nm4277427,nm1638294,nm0100040,nm0894219,nm4236592,nm0535837,nm3016197",House of Anubis,"Adventure,Drama,Family","nm0690890,nm0363865,nm7574443,nm1126185,nm0929391,nm1318214,nm0269908,nm0388745","nm0926056,nm1215670,nm2379110,nm0100040,nm0894219,nm1268554,nm1039374,nm1639615,nm0168325,nm5277896,nm4745956,nm5277913,nm1131062,nm1637230,nm3948497,nm0800910",7.3,5043,en
21076,tt16385150,"nm14476287,nm1355925,nm13230974,nm11803684,nm13234441,nm13230972,nm13230971,nm3168155,nm8796022,nm13234442",Shark Tank India,Reality-TV,nm5416737,"nm12849634,nm7978607,nm14446461,nm10763157,nm14446460,nm14446462,nm13327230",8.8,3812,en
21079,tt1639109,"nm1179611,nm0436778,nm2875143,nm2573928,nm2316240,nm1814328,nm1931870,nm3211484,nm1001404,nm2316478",Angel Beats!,"Action,Animation,Comedy","nm3045431,nm2711496,nm2364602,nm4959029,nm2782798,nm4396873,nm3647762","nm3315146,nm2538150",7.6,14899,en
21087,tt1639471,"nm0436778,nm0757087,nm0297873,nm0837523,nm0468729,nm0960037,nm1328076,nm1543455",Arakawa andâ za burijji,"Animation,Comedy,Fantasy",nm0793840,"nm1692389,nm3878739",7.1,611,ja
